Subject ID,True_block,Trial_type,Group,Accuracy,Reaction_time
1Y821,2,congruent,B,1,0.455579068
1Y821,2,incongruent,B,1,0.466430195
1Y821,2,congruent,B,1,0.361293284
1Y821,2,incongruent,B,1,0.37480273
1Y821,3,congruent,B,1,0.463252108
1Y821,3,incongruent,B,1,0.506008182
1Y821,3,incongruent,B,1,0.39147589
1Y821,3,incongruent,B,1,0.456860438
1Y821,3,incongruent,B,1,0.540033192
1Y821,3,congruent,B,1,0.456829304
1Y821,3,congruent,B,1,0.478312189
1Y821,3,congruent,B,1,0.617801494
1Y821,3,congruent,B,1,0.390707042
1Y821,3,incongruent,B,1,0.455334822
1Y821,3,congruent,B,1,0.34004138
1Y821,3,incongruent,B,1,0.444550133
17FDC,1,incongruent,B,0,NaN
17FDC,1,incongruent,B,0,NaN
17FDC,1,incongruent,B,1,0.399997132
17FDC,1,congruent,B,1,1.714911615
17FDC,1,incongruent,B,1,0.345289043
17FDC,1,congruent,B,1,0.319515728
17FDC,1,congruent,B,1,0.342203378
17FDC,1,incongruent,B,1,0.38923121
17FDC,1,congruent,B,1,0.329013302
17FDC,1,congruent,B,1,0.366536378
17FDC,1,incongruent,B,1,0.371000826
17FDC,1,congruent,B,1,0.407426811
17FDC,2,congruent,B,1,0.378435722
17FDC,2,congruent,B,1,0.35135643
17FDC,2,incongruent,B,1,0.403744236
17FDC,2,incongruent,B,1,0.366575978
17FDC,2,incongruent,B,1,0.355017628
17FDC,2,congruent,B,1,0.279599792
17FDC,2,incongruent,B,1,0.327775442
17FDC,2,congruent,B,1,0.42973403
17FDC,2,congruent,B,1,0.423166678
17FDC,2,congruent,B,1,0.384934884
17FDC,2,incongruent,B,1,0.395851507
17FDC,2,incongruent,B,1,0.3189349
17FDC,3,incongruent,B,1,0.37258427
17FDC,3,incongruent,B,1,0.377115165
17FDC,3,congruent,B,1,0.422747834
17FDC,3,congruent,B,1,0.416890124
17FDC,3,incongruent,B,1,0.420228874
17FDC,3,congruent,B,1,0.35791319
17FDC,3,incongruent,B,1,0.39435214
17FDC,3,congruent,B,1,0.38125916
17FDC,3,congruent,B,1,0.329726094
17FDC,3,incongruent,B,1,0.415045866
17FDC,3,congruent,B,1,0.42607501
17FDC,3,incongruent,B,1,0.355797315
1A877,1,incongruent,B,0,1.629192901
1A877,1,congruent,B,1,0.664276412
1A877,1,incongruent,B,1,1.383355075
1A877,1,congruent,B,1,0.468529408
1A877,1,congruent,B,1,0.471268136
1A877,1,incongruent,B,1,0.477410837
1A877,1,incongruent,B,1,0.387106409
1A877,1,incongruent,B,0,0.234486837
1A877,1,incongruent,B,1,0.356203167
1A877,1,congruent,B,1,0.372489116
1A877,1,congruent,B,1,0.40664616
1A877,1,congruent,B,1,0.321142753
1A877,2,congruent,B,1,0.328483004
1A877,2,incongruent,B,1,0.491257172
1A877,2,incongruent,B,1,0.5728496
1A877,2,incongruent,B,1,0.308568333
1A877,2,congruent,B,1,0.46720155
1A877,2,congruent,B,1,0.421256532
1A877,2,congruent,B,1,0.324666545
1A877,2,incongruent,B,1,0.497310746
1A877,2,congruent,B,1,0.299405272
1A877,2,incongruent,B,1,0.412202697
1A877,2,incongruent,B,1,0.435353278
1A877,2,congruent,B,1,0.390620482
1A877,3,congruent,B,1,0.756808762
1A877,3,congruent,B,1,0.291589547
1A877,3,incongruent,B,1,0.39944858
1A877,3,congruent,B,1,0.392258589
1A877,3,incongruent,B,1,0.39782777
1A877,3,incongruent,B,1,0.524620139
1A877,3,congruent,B,1,0.337089496
1A877,3,incongruent,B,1,0.486424844
1A877,3,congruent,B,1,0.321338618
1A877,3,incongruent,B,1,0.42986785
1A877,3,congruent,B,1,0.34241896
1A877,3,incongruent,B,1,0.417313887
08BAC,1,congruent,B,1,0.059324228
08BAC,1,congruent,B,1,1.731524238
08BAC,1,incongruent,B,0,0.105326612
08BAC,1,congruent,B,1,0.447320485
08BAC,1,incongruent,B,1,0.362242945
08BAC,1,congruent,B,1,0.36827785
08BAC,1,incongruent,B,1,0.359279707
08BAC,1,incongruent,B,1,0.393309914
08BAC,1,incongruent,B,1,0.470231773
08BAC,1,congruent,B,1,0.491996865
08BAC,1,incongruent,B,1,0.395464148
08BAC,1,congruent,B,1,0.326848545
08BAC,2,incongruent,B,1,0.429556387
08BAC,2,incongruent,B,1,0.42594641
08BAC,2,congruent,B,1,0.431125608
08BAC,2,incongruent,B,1,0.445954631
08BAC,2,congruent,B,1,0.445574291
08BAC,2,incongruent,B,1,0.516223
08BAC,2,incongruent,B,1,0.506605055
08BAC,2,incongruent,B,1,0.42891484
08BAC,2,congruent,B,1,0.539476204
08BAC,2,congruent,B,1,0.37656788
08BAC,2,congruent,B,1,0.369945252
